"placename","othername","designator","location","remarks","infosource"
"Criders","Criders Post Office","Community","On SR 826 & 865. About 15 mi NW of Broadway","   -","HRHS Archives # 86 Whitmer"
"Criders Church","   -","Church","About .7 mi N of Criders on SR 865","   -","HRHS Archives # 86 Whitmer"
"Crider's P.O.","   -","Post Office","West Plains","P. 26","1885 Lakes Atlas Revised 2013"
"Crider's P.O.","Named after William Crider, postmaster.","Post Office","West Plains","P. 26","1885 Lakes Atlas Revised 2013"
"Criders Post Office","Criders","Post Office","   -","   -","HRHS Archives # 86 Whitmer"
"Crim - Hoover Mill","   -","Mill","Timberville","   -","HRHS Mill Books"
"Crishen Rd.","   -","Road","East Ashby","P. 6","1885 Lakes Atlas Revised 2013"
"Crist","   -","Community","At eastern intersection of SR 619 & 799. About 3.7 mi WSW of New Market on in Shenandoah County.","   -","HRHS Archives # 86 Whitmer"
"Crock Ham","   -","Business","Stonewall","P. 31","1885 Lakes Atlas Revised 2013"
"Cromer Est.","   -","Area","East Central","P. 12","1885 Lakes Atlas Revised 2013"
"Cromer Family Cemetery","   -","Cemetery","Antioch area, Rockingham County, Virginia.  From Harrisonburg, Virginia, take Route 42 North, then turn left onto Route 765 (Cromer Road).  It is located on the left side (south) of the road, in a field, on private property owned by the Burgess famil","   -","HRHS Cemeteries Database 2013"
"Cross Keys","Crosskeys, Cross Keys Post Office","Community","At intersection of SR 276 & 679. About 6.4 mi N of Grottoes","   -","HRHS Archives # 86 Whitmer"
"Cross Keys Battle Monument","   -","Monument","Old location on SR 679. About 1.1 mi SE of Cross Keys.","The monument has since been moved. Along side SR 659, near 38 21 02N, 78 49 36W, about 1.1 mi SE of Cross Keys.","HRHS Archives # 86 Whitmer"
"Cross Keys Battlefield","   -","Monument","N of SR 679 & NW of 679's interestion with SR 659. Surrounds old location of Cross Keys Battle Monument. Extends about .3 mi N-S & .3 mi E-W","   -","HRHS Archives # 86 Whitmer"
"Cross Keys P.O.","   -","Post Office","East Ashby","P. 7","1885 Lakes Atlas Revised 2013"
"Cross Keys Post Office","Cross Keys","Post Office","   -","   -","HRHS Archives # 86 Whitmer"
"Cross Mountain","   -","Mountain","Elevation about 2180'. About 4.2 mi SW of Fulks Run","   -","HRHS Archives # 86 Whitmer"
"Cross Mountain Run","   -","Stream","Rise about 5.5 mi NNW of Singers Glen, near 38 37 27N, 78 57 44W, flows S about 1.5 mi into Slate Lick Branch near 38 36 21N, 78 57 26W, about 4.4 mi NNW of Singers Glen.","   -","HRHS Archives # 86 Whitmer"
"Cross Roads Church","Crossroad Church","Church","   -","   -","HRHS Archives # 86 Whitmer"
"Cross Roads School","   -","School","At intersection of SR 617 & 753. About 3.1 mi NNW of Linville.","   -","HRHS Archives # 86 Whitmer"
"Crosskeys","Cross Keys","Community","   -","   -","HRHS Archives # 86 Whitmer"
"Crossroad Church","Cross RoadsChurch, X Roads Church","Church","About 2.2 mi W of Timberville on SR 792.","Show G, p.18 Cross Roads Church, Pit G 'X Roads Church'","HRHS Archives # 86 Whitmer"
"Crossroads Mennonite Church","   -","Church","Timberville, west of","Mennonite","HRHS Churches Database 2013"
"Croushorn Family Cemetery","   -","Cemetery","Near Union Springs, Rockingham County, Virginia. From Harrisonburg, drive south on Route 42 three miles to Dayton. Turn right (west) on Route 257 (Ottobine Road). About 6 miles at crossroads with Route 613 (Briery Branch Road), go straight ahead on W","   -","HRHS Cemeteries Database 2013"
"Crow Hollow","   -","Valley","Runs S to N. Extends 1.4 mi. Mouth of Hollow opens onto Turner Hollow in Page County, near 38 26 04N, 78 31 28W. Hollow begins near 38 24 54N, 78 31 32W. Center about 2.5 mi NE of Huckleberry Mountain.","   -","HRHS Archives # 86 Whitmer"
"Cub Run","   -","Stream","Rises about .1 mi S of Lairds Knob, near 38 26 49N, 78 43 50W. Flows W, S & E about 15 mi inot South Fork Shenandoah River near 38 20 21N, 78 43 25W, about 2.3 mi SSE of McGaheysville.","   -","HRHS Archives # 86 Whitmer"
"Cub Run","   -","Stream","Rises about 2.8 mi NE of Lairds Knob, near 38 33 23N, 78 35 32W, flows NE about 9.4 mi into South Fork Shenandoah River near 38 33 23N, 78 35 32W, in Page County about 1.5 mi S of Newport.","   -","HRHS Archives # 86 Whitmer"
"Cub Run","   -","Stream","East Central","P. 13","1885 Lakes Atlas Revised 2013"
"Cub Run","   -","Stream","Stonewall","P. 31","1885 Lakes Atlas Revised 2013"
"Cub Run","   -","Stream","Stonewall","P. 31","1885 Lakes Atlas Revised 2013"
"Cub Run Road","   -","Road","A road on Massanutten Mountain, extending SW-NE about 11.4 mi through Runkles Gap & in part along Cub Run. Midpoint near 38 30 04N, 78 40 00W, about 5.8 mi SE of Tenth Legion.","Cub Run Road is SR 636 in Rockingham Co. How far does Cub Run Road extend in Page Co.? Does it extend beyond the Natl. Forest Boundry?","HRHS Archives # 86 Whitmer"
"Custer Family Cemetery","   -","Cemetery","Fulks Run, Rockingham county, Virginia. From Fulks Run Grocery, continue west on route 259 for 1 mile.  Turn left at the Valley Land Store onto Route 818 (Little Dry River Road).  After crossing the bridge, turn right onto the private gravel and go a","   -","HRHS Cemeteries Database 2013"
"Custers Mill","Lower Mill","Mill","Hinton","   -","HRHS Mill Books"
"Cyrus Dove Cemetery","   -","Cemetery","Criders Area, Rockingham County, Virginia. Northwest of Criders and located on the Shenandoah Mountain about half a mile from the end of Bennetts Run Road (Route 824).","   -","HRHS Cemeteries Database 2013"
"Cyrus Rhodes Family Cemetery","   -","Cemetery","Mt. Valley area, Rockingham County, Virginia. From Court Square in Harrisonburg, Virginia, take Route 11 North (No. Valley Pike) for 7.1 miles and turn right onto Route 721 (Fellowship Road). Go 1.2 miles and turn left onto Route 717 (Indian Trail Ro","   -","HRHS Cemeteries Database 2013"
"D. A. Swank Mill","   -","Mill","Edom","   -","HRHS Mill Books"
"Dairy","Green Mt.","Business","East Linville Creek","P. 18","1885 Lakes Atlas Revised 2013"
"Dairy Green Mtn.","   -","Business","East Linville Creek","P. 18","1885 Lakes Atlas Revised 2013"
"Dale Enterprise","Dale Enterprise Post Office","Community","At intersection of U.S. Rt.33 & SR 733. About .8 mi ENE of Mole Hill","   -","HRHS Archives # 86 Whitmer"
"Dale Enterprise Post Office","Dale Enterprise","Post Office","   -","   -","HRHS Archives # 86 Whitmer"
"Dale Enterprise Road","   -","Road","A road extending generally S-N. Begins at intersection of SR 290 & 701 at Dayton, ends at intersectin of SR 701 & 763, about 3.2 mi NNE of Mole Hill. Is now present day SR 701. Extends about 5.2 mi","   -","HRHS Archives # 86 Whitmer"
"Dale Entrprs P. O.","   -","Post Office","East Central","P. 12","1885 Lakes Atlas Revised 2013"
"Damascus Church","Dunkard Church","Church","On SR 865 at Criders","   -","HRHS Archives # 86 Whitmer"
"Damascus Church of the Brethren","Refer to: Damascus Dunkard Church","Church","Criders","Church of the Brethren","HRHS Churches Database 2013"
"Damascus Dunkard Church","(See also, Damascus Church of the Brethren)","Church","Criders, nearby along Germany River","Dunkard","HRHS Churches Database 2013"
"Damascus Memorial Church","Valley View Church","Church","   -","   -","HRHS Archives # 86 Whitmer"
"Dan Turner Place Cemetery","   -","Cemetery","Turleytown area, Rockingham County, Virginia.  Was located on Route 613 (Turleytown Road) north of Turleytown, Virginia, on Dan Turner?s place.","   -","HRHS Cemeteries Database 2013"
"Daniel T. Ritchie Cemetery","   -","Cemetery","Bergton Area, Rockingham County, Virginia. Located on top of the Shenandoah Mountain up Overly Hollow Road (Route 823) and on the Rev. Max Fisher's place.","   -","HRHS Cemeteries Database 2013"
"Daphna","Cowans Depot, Cowans Post Office","Community","Near SR 809. Bout 2.3 mi S of Broadway","   -","HRHS Archives # 86 Whitmer"
"Daphna Creek","   -","Stream","Rises about 2.7 mi NNE of Linville, near 38 32 37N, 79 49 25W, flows NNE about 4.5 mi into Linville Creek near 38 36 14N, 78 48 13W. About .7 mi S of Broadway","   -","HRHS Archives # 86 Whitmer"
"Daphna Road","   -","Road","A road extending generally ESE-WNW. Begins at southern intersection of U.S. Rt.11 & SR 809, about .5 mi NE of Lacey Spring, & ends at intersection of SR 752 & 809, about 3.4 mi WSW of Broadway, is now major portion of present day SR 809. Extends abou","   -","HRHS Archives # 86 Whitmer"
"Daphna School","   -","School","On SR 804 about 2.6 mi S of Bradway","   -","HRHS Archives # 86 Whitmer"
"David Reedy Place Cemetery","   -","Cemetery","Singers Glen area, Rockingham County, Virginia. Located on east side of Route 781 (Wills Creek Road) in woods east of the David Reedy home (formerly William Keister). Near Mt. Zion Brethren Church.","   -","HRHS Cemeteries Database 2013"
"Davis Store","   -","Business","Probably at intersection of SR 754 & 630. About 4 mi E of McGaheysville","   -","HRHS Archives # 86 Whitmer"
"Dayton","   -","Town","   -","   -","HRHS Archives # 86 Whitmer"
"Dayton","   -","Town","East Ashby","P. 6","1885 Lakes Atlas Revised 2013"
"Dayton Baptist Church Cemetery #","   -","Cemetery","Refer to the Fishback Family Cemetery. The name has changed over the years."," # No longer exists, renamed, or moved.","HRHS Cemeteries Database 2013"
"Dayton Cemetery","   -","Cemetery","Dayton, Rockingham County, Virginia.  From the corner of Route 33 West and Route 42 South, go 3.2 miles south on Route 42 and turn right on to Route 732 (Eberly Road).  Go 2/10th mile to stop sign and turn left.  Cross over creek and then turn right","   -","HRHS Cemeteries Database 2013"
"Dayton Christian Church","   -","Church","Dayton (No longer exists)","Christian","HRHS Churches Database 2013"
"Dayton Church of the Brethren","Refer to: Dayton Union Church  (See also, Wittenberg Chapel and Dunkard Church of Dayton.","Church","Dayton. East side of Main St. at Huffman Drive.","Church of the Brethren","HRHS Churches Database 2013"
"Dayton Dunkard Brethren Church","Refer to: Lone Pine Dunkard Church","Church","Dayton. Ottobine Rd.","Dunkard","HRHS Churches Database 2013"
"Dayton Lutheran Church","   -","Church","Dayton","Lutheran","HRHS Churches Database 2013"
"Dayton Mennonite Church Cemetery","   -","Cemetery","Dayton, Rockingham County, Virginia. From Harrisonburg, Virginia, take Route 42 South (John Wayland Highway). Go about 4 miles and cemetery is behind church, located on the left (East) side of Route 42  at the South edge of Dayton, Virginia.","   -","HRHS Cemeteries Database 2013"
"Dayton Methodist Church","(See also, the Dayton United Methodist Church)","Church","Dayton, Va. Southeast corner of Mill St. and East View St.","Methodist","HRHS Churches Database 2013"
"Dayton Mill (Lower)","   -","Mill","Dayton","   -","HRHS Mill Books"
"Dayton Mill (Upper)","   -","Mill","Dayton","   -","HRHS Mill Books"
"Dayton Presbyterian Church","Refer to: Salem Presbyterian Church","Church","Dayton, Va. High Street near north end.","Presbyterian","HRHS Churches Database 2013"
"Dayton Presbyterian Church #","   -","Cemetery","Dayton, Rockingham County, Virginia.  At head of Silver Lake, no longer exists."," # No longer exists, renamed, or moved.","HRHS Cemeteries Database 2013"
"Dayton Union Church","(See also, Wittenberg Chapel, Dunkard Church of Dayton, Dayton Church of the Brethren)","Church","Dayton","Open to all","HRHS Churches Database 2013"
"Dayton United Brethren Church","(See also, Shepherd of the Valley Lutheran Church)","Church","Dayton, Main St.","United Brethren","HRHS Churches Database 2013"
"Dayton United Methodist Church","Refer to Dayton United Brethren Church and Dayton Methodist Church.","Church","Dayton.  Intersection of Ashby St. and Thomson St.","United Methodist","HRHS Churches Database 2013"
"Dean Cemetery","   -","Church","In Shenandoah Natl Park. About 2.2 mi SE of Huckleberry Mtn.","   -","HRHS Archives # 86 Whitmer"
"Dean Family Cemetery","   -","Cemetery","Swift Run Gap, Elkton Area, Rockingham County, Virginia.  After leaving Park Entrance at Swift Run, travel 2.4 miles north on the Skyline Drive, then turn left into Dean Mountain Cemetery.  A paved parking lot is on the right after making the left tu","   -","HRHS Cemeteries Database 2013"
"Dean Mountain","   -","Mountain","Elevation 3031'. In Shenandoah Natl Park. About 2.3 mi E of Huckleberry Mtn","   -","HRHS Archives # 86 Whitmer"
"Dean Mountain Gap","   -","Gap","An air gap in the Blue Ridge about 2.5 mi SE of Huckleberry mtn. Elevation about 2942'. Restricted National Park Roads descend from either side of the gap down the ridge. The road in Rockingham Co. is Dry Run Falls Road","   -","HRHS Archives # 86 Whitmer"
"Dean Mountain School","   -","School","Near Dry Run Falls Road. About 2.3 mi SE of Huckleberry Mtn","   -","HRHS Archives # 86 Whitmer"
"Dean Mountain Spring","   -","Mill","Skyline Drive","   -","HRHS Mill Books"
"Deaton","Dayton","Town","   -","   -","Other Sources"
"Deckert & Son","   -","Business","Harrisonburg","P. 16","1885 Lakes Atlas Revised 2013"
"Deep Run","Little Deep Run","Stream","Rises about 1.8 mi SSW of Rockytop, near 38 15 54N, 78 43 33W, flows NW about 4.8 mi into South Fork Shenandoah River near 38 18 13N, 78 46 56W, about 1.6 mi NE of Port Republic","   -","HRHS Archives # 86 Whitmer"
"Deep Run","   -","Stream","Rises about 2.9 mi NE of Fox Mountain, near 38 28 13N, 78 33 02W, flows WSW about 2.2 mi into Naked Creek near 38 27 18N, 78 34 58W, about 1.2 mi N of Fox Mountain","   -","HRHS Archives # 86 Whitmer"
"Deep Run","   -","Stream","Stonewall","P. 31","1885 Lakes Atlas Revised 2013"
"Deihl","   -","Community","A subdivision in Bridgewater. On N+S sides of Broad Street between Liberfty St. on W and Wyant St. on","   -","HRHS Archives # 86 Whitmer"
"Depot Grounds","   -","Area","Bwtr, Mt. Crfd, Rushvl, Sprg Crk","P. 11","1885 Lakes Atlas Revised 2013"
"Deputy's Mill","   -","Mill","Pleasant Valley","   -","HRHS Mill Books"
"Dever Family Cemetery 1","   -","Cemetery","Spring Creek area, Rockingham County, Virginia.  Was located on the Clarence Craun Place on Route 613 south of Spring Creek, Virginia.  Formerly Herbert Patterson place.","   -","HRHS Cemeteries Database 2013"
"Dever Family Cemetery 2","   -","Cemetery","Spring Creek, Rockingham County, Virginia.  Was located on the hill south of Route 613 and west of junction with Route 750 - now the J. C. Phillips Place.","   -","HRHS Cemeteries Database 2013"
"Devier & Kerr","   -","Business","Harrisonburg","P. 16","1885 Lakes Atlas Revised 2013"
"Dictum Ridge","Dixon Ridge","Mountain","Elevation about 3640'. Extends SSW-NNE about 3.5 mi. Center about 3 mi N of Rawley Springs","   -","HRHS Archives # 86 Whitmer"
"Dictum Ridge Trail","   -","Road","A trail in George Washington Natl Forest, extending SSW-NNE about 4.7 mi along Dictum Ridge. Midpoint near 38 32 37N, 79 03 04W","   -","HRHS Archives # 86 Whitmer"
"Diehls Ford Road","   -","Road","A road extending generally E-W & then S-N. Begins at intersection of SR 668 & 669, about 2.4 mi W of Port Republic, ends at intersection of SR 677 & 678,a bout 3.5 mi WNW of Port Republic. Is now portions of present inst. RT 669 & 678. Extends about","VA DoH 1932","HRHS Archives # 86 Whitmer"
"Diehls Ford Road","   -","Road","A road extending generally SE-NW. Begins at intersectin of SR 668 & 677, about 2.4 mi W of Port Frepublic, ends at southern intersection of SR 276 & 678, about 4.3 mi SE of Mt. Crawford. Is now portions of present day SR 677 & 678. Extends about 2 mi","VA DoH 1939-33","HRHS Archives # 86 Whitmer"
"Dingledine-Swartz Family Cemetery","   -","Cemetery","Singers Glen area, Rockingham County, Virginia. From downtown Harrisonburg, Virginia, take Route 42 (Harpine Highway) north approximately 7.1 miles and turn left on to Route 753 (Wengers Mill Road). Continue on Route 753 (name changes to Hollar Schoo","   -","HRHS Cemeteries Database 2013"
"Dining Room","   -","Structure","Rawley Springs","P. 27","1885 Lakes Atlas Revised 2013"
"Dinkel Cemetery - Bridgewater College","   -","Cemetery","Bridgewater, Rockingham County, Virginia. From Harrisonburg, Virginia, travel south on Route 42 to Bridgewater. In Bridgewater turn left onto E. College Street. Go 3/10th mile and turn right into college parking lot. You will see a large tree at the","   -","HRHS Cemeteries Database 2013"
